number;GR4J;LSTM
161;0.746644925;0.794655276
162;0.783864875;0.803825993
163;0.79388258;0.839342854
164;0.78382501;0.821125563
165;0.839805998;0.862469067
166;0.825660455;0.801544021
167;0.657094178;0.8569686
168;0.801877342;0.712950701
169;0.798243491;0.720129484
170;0.832623343;0.871445718
171;0.877910872;0.873054716
172;0.859113059;0.85280049
173;0.92064957;0.920400777
174;0.567905682;0.804453751
175;0.783518754;0.800874286
176;0.783255701;0.810881304
177;0.87986858;0.803051863
178;0.831712895;0.82926481
179;0.808474349;0.854751343
180;0.687286393;0.677935492
181;0.795672936;0.811442435
182;0.777317055;0.831732144
183;0.778105463;0.769575652
184;0.72818786;0.777952479
185;0.870125937;0.867153309
186;0.748326208;0.738087468
187;0.732879617;0.698886757
188;0.643385186;0.740133377
189;0.927915227;0.921260886
190;0.870406461;0.876168033
191;0.813672588;0.819196596
192;0.820496314;0.875067809
193;0.756132473;0.806323267
194;0.862576818;0.875259011
195;0.871987121;0.896367092
196;0.92599024;0.930098697
197;0.902480377;0.938377739
198;0.843905412;0.872848157
199;0.918656385;0.93307004
200;0.837479964;0.845143036
201;0.901218209;0.933322968
202;0.897083903;0.92659446
203;0.917341862;0.904718172
204;0.905850849;0.922352488
205;0.910562698;0.937454417
206;0.916386013;0.916412556
207;0.768819366;0.853572757
208;0.846154075;0.901126362
209;0.842765752;0.828786072
210;0.745945341;0.796810914
211;0.796641529;0.807748979
212;0.701423815;0.789512284
213;0.818914249;0.855176495
214;0.726003752;0.783567363
215;0.666672233;0.695939477
216;0.697324562;0.729154496
217;0.52590722;0.682783286
218;0.529553744;0.523731642
219;0.897482672;0.938832567
220;0.884954263;0.917791545
221;0.899596247;0.931007125
222;0.885447876;0.881573156
223;0.917051278;0.938721771
224;0.7267515;0.885136262
225;0.752072238;0.913314303
226;0.780825891;0.899434507
227;0.829123483;0.898684683
228;0.859265373;0.94638955
229;0.856462053;0.91208854
230;0.903049629;0.922055462
231;0.911345127;0.934423195
232;0.874176201;0.928869174
233;0.865017057;0.879548212
234;0.775643996;0.843145109
235;0.731817395;0.747112868
236;0.619915388;0.657714282
237;0.184447386;0.016200594
238;0.752730664;0.850117943
239;0.716010373;0.739885693
240;0.777658477;0.881216329
241;0.823489227;0.857434989
242;0.75112949;0.8739329
243;0.766816885;0.851113813
244;0.799103083;0.855383692
245;0.725545732;0.781452924
246;0.730235452;0.783001245
247;0.787354165;0.878082578
248;0.724180697;0.807220681
249;0.788815367;0.860553137
250;0.730457016;0.818751454
251;0.620032924;0.847109049
252;0.759047239;0.834371929
253;0.749367111;0.791954316
254;0.890309664;0.897039873
255;0.683999211;0.830171727
256;0.529124607;0.645091456
257;0.870555522;0.916480177
258;0.868020279;0.933238511
259;0.868430654;0.904217279
260;0.769243952;0.864811339
261;0.856423123;0.923687791
262;0.778549483;0.869321653
263;0.7253869;0.670646937
264;0.847542121;0.817869112
265;0.801039692;0.837291036
266;0.750617271;0.849251873
267;0.734979761;0.738059772
268;0.878966555;0.876444717
269;0.909710991;0.915359806
270;0.813784008;0.808378106
271;0.923167026;0.941954934
272;0.77848037;0.685269933
273;0.820099459;0.823308852
274;0.739430852;0.811611758
275;0.825897839;0.811837561
276;0.406193372;0.228621868
277;0.603664822;0.721072681
278;0.722419207;0.789183135
279;0.766734188;0.755364032
280;0.32812963;0.384142078
281;0.899494372;0.914502959
282;0.839994781;0.935056212
283;0.629370679;0.776133535
284;-0.140253328;-0.196813054
285;0.521304134;0.750659562
286;0.793107873;0.761062528
287;0.753433251;0.780398321
288;0.67941034;0.811473596
289;0.74506451;0.820414897
290;0.555231603;0.64807525
291;0.672968682;0.746145574
292;0.721594327;0.843526589
293;0.640209323;0.6528759
294;0.640139976;0.816720346
295;0.626227642;0.7887763
296;0.304275374;0.302863935
297;0.748452439;0.834271974
298;0.821821282;0.932533372
299;0.863985125;0.891091853
300;0.822985532;0.896260886
301;0.841950105;0.929086161
302;0.890757968;0.93715411
303;0.207626832;0.085699261
304;0.783570039;0.822268456
305;0.852047099;0.87440257
306;0.514287149;0.589895336
307;0.800841691;0.837350036
308;0.836864446;0.853390675
309;0.740350674;0.753896842
310;0.414976709;0.577128015
311;0.631677717;0.558214335
312;0.641892433;0.687616213
313;-0.028058747;-0.365616912
314;0.751665548;0.805990045
315;0.786117428;0.749737173
316;0.632553871;0.597431618
317;0.23605384;0.533339498
318;0.66985043;0.674450385
319;0.683964017;0.737260365
320;0.564058182;0.608380079
321;0.712619564;0.813842102
322;0.716055276;0.789564759
323;0.722717295;0.769166329
324;0.759708019;0.870593259
325;0.821370563;0.839918719
326;0.703618705;0.839758511
327;0.857591519;0.894546115
328;0.87728392;0.915675995
329;0.614324646;0.593387104
330;0.842185647;0.886390172
331;0.397584391;0.568569108
332;0.426496117;0.409659576
333;0.664982305;0.694976857
334;0.392930988;-0.144844894
335;0.576825738;0.560806487
336;0.863379277;0.868160575
337;0.877529529;0.892559644
338;0.805112065;0.898998119
339;0.853516159;0.830835137
340;0.854074938;0.85890062
341;0.893573544;0.860505903
342;0.754398793;0.758795431
343;0.737270616;0.808205119
344;0.854724174;0.837334543
345;0.500956401;0.569850628
346;0.815140051;0.802989746
347;0.859782948;0.871617937
348;0.838995572;0.901882678
349;0.724336714;0.835448809
350;0.80519743;0.876048742
351;0.804925375;0.868387351
352;0.798487151;0.770235989
353;0.839412525;0.790429472
354;0.400804361;0.672449171
355;0.77091315;0.854381567
356;0.718091463;0.777081818
357;0.429449254;0.179567269
358;0.629286861;0.64732372
359;0.722059523;0.754467722
360;0.698062218;0.695103669
